log_id,noted_date,temp,out_in,noted_time
196134_bd201015,8/12/2018,29,In,9:30
196131_7bca51bc,8/12/2018,29,In,9:30
196127_522915e3,8/12/2018,41,Out,9:29
196128_be0919cf,8/12/2018,41,Out,9:29
196126_d30b72fb,8/12/2018,31,In,9:29
196125_b0fa0b41,8/12/2018,31,In,9:29
196121_01544d45,8/12/2018,29,In,9:28
196122_f8b80a9f,8/12/2018,29,In,9:28
196111_6b7a0848,8/12/2018,29,In,9:26
196112_e134aebd,8/12/2018,29,In,9:26
196108_4a983c7e,8/12/2018,42,Out,9:25
196101_d5ec7633,8/12/2018,29,In,9:24
196099_3b8ef67b,8/12/2018,29,In,9:24
196095_788b2c27,8/12/2018,29,In,9:22
196096_eafb59b6,8/12/2018,29,In,9:22
196094_38501388,8/12/2018,41,Out,9:21
196093_f0b3b649,8/12/2018,41,Out,9:21
196090_b5f7ca9c,8/12/2018,29,In,9:20
196087_e04d9477,8/12/2018,29,In,9:20
196085_1e3e9e86,8/12/2018,42,Out,9:19
196086_ab9ff962,8/12/2018,42,Out,9:19
196082_e025abaa,8/12/2018,29,In,9:18
196081_db1796b5,8/12/2018,29,In,9:18
196080_911f4eef,8/12/2018,41,Out,9:17
196079_7a0ef724,8/12/2018,41,Out,9:17
196077_d97a0ff1,8/12/2018,29,In,9:16
196076_93e253c7,8/12/2018,29,In,9:16
196073_6cce2ad3,8/12/2018,29,In,9:14
196071_cfb015ff,8/12/2018,29,In,9:14
196065_a29349e0,8/12/2018,29,In,9:12
196063_5facf520,8/12/2018,29,In,9:12
196056_de074bc3,8/12/2018,42,Out,9:09
196055_c4b4dac1,8/12/2018,42,Out,9:09
196052_a206be15,8/12/2018,29,In,9:08
196050_3c252aff,8/12/2018,29,In,9:08
196048_e4e30610,8/12/2018,41,Out,9:07
196047_da4d3971,8/12/2018,41,Out,9:07
196039_a167c302,8/12/2018,29,In,9:05
196038_b58a003f,8/12/2018,42,Out,9:04
196037_fdf98314,8/12/2018,30,In,9:04
196035_689daecd,8/12/2018,29,In,9:04
196034_d592acf9,8/12/2018,42,Out,9:03
196033_cec7562b,8/12/2018,30,In,9:03
196026_8ad54b4f,8/12/2018,30,In,9:01
196022_1b205f24,8/12/2018,29,In,9:00
196021_0ed345a9,8/12/2018,29,In,9:00
196020_dbaffc92,8/12/2018,29,In,8:58
196018_adf4ef79,8/12/2018,29,In,8:58
196016_20a6e7e2,8/12/2018,41,Out,8:57
196014_8d2b9031,8/12/2018,30,In,8:55
196015_db31e3bc,8/12/2018,30,In,8:55
196010_238d7f2d,8/12/2018,42,Out,8:53
196011_5a5158ba,8/12/2018,42,Out,8:53
196003_7a23e92c,8/12/2018,29,In,8:52
196000_3f2ed7ca,8/12/2018,29,In,8:52
195999_728bba0f,8/12/2018,31,In,8:51
195994_6650de18,8/12/2018,29,In,8:50
195993_ca94691a,8/12/2018,29,In,8:50
195983_fec1f952,8/12/2018,29,In,8:48
195976_f524a948,8/12/2018,29,In,8:46
195977_e1805396,8/12/2018,29,In,8:46
195972_db46be7e,8/12/2018,29,In,8:42
195969_8f5806db,8/12/2018,29,In,8:42
195968_c5929341,8/12/2018,41,Out,8:41
195966_7067918d,8/12/2018,30,In,8:41
195967_fd90463b,8/12/2018,30,In,8:41
195965_d674087f,8/12/2018,29,In,8:40
195964_78b18ce8,8/12/2018,29,In,8:40
195960_83b2ac63,8/12/2018,29,In,8:38
195958_d1f1c452,8/12/2018,29,In,8:38
195952_80703f87,8/12/2018,29,In,8:36
195953_8d40d5d6,8/12/2018,29,In,8:36
195946_950a05dd,8/12/2018,29,In,8:34
195947_788677b5,8/12/2018,29,In,8:34
195943_2f2b26fa,8/12/2018,41,Out,8:33
195942_5e1c858f,8/12/2018,41,Out,8:33
195937_fb578c35,8/12/2018,29,In,8:32
195935_ab01285d,8/12/2018,29,In,8:32
195933_53aa6200,8/12/2018,41,Out,8:31
195932_988cb49a,8/12/2018,41,Out,8:31
195929_7e57e39e,8/12/2018,29,In,8:30
195928_bf913f02,8/12/2018,29,In,8:30
195923_6788ab66,8/12/2018,29,In,8:28
195921_54b29c20,8/12/2018,29,In,8:28
195919_2c731f8f,8/12/2018,41,Out,8:27
195918_0b04645d,8/12/2018,41,Out,8:27
195915_0f898d60,8/12/2018,29,In,8:26
195914_c287670c,8/12/2018,29,In,8:26
195913_12036871,8/12/2018,41,Out,8:25
195912_d1225202,8/12/2018,41,Out,8:25
195909_4bb4aa6e,8/12/2018,29,In,8:24
195910_45867a15,8/12/2018,29,In,8:24
195906_25300ce4,8/12/2018,41,Out,8:23
195907_a93e5292,8/12/2018,41,Out,8:23
195905_c6c4e9b4,8/12/2018,29,In,8:22
195904_2e517ede,8/12/2018,29,In,8:22
195900_d8ef0bf6,8/12/2018,40,Out,8:21
195901_224e9da3,8/12/2018,40,Out,8:21
195897_5db0f878,8/12/2018,29,In,8:20
195898_e3dd9f74,8/12/2018,29,In,8:20
195895_f547a4eb,8/12/2018,29,In,8:18
195894_3bedeaeb,8/12/2018,29,In,8:18
195891_1322e658,8/12/2018,30,In,8:17
195890_324848c7,8/12/2018,30,In,8:17
195887_7278790d,8/12/2018,29,In,8:16
195885_53d95e8e,8/12/2018,29,In,8:16
195883_0d611f99,8/12/2018,40,Out,8:15
195882_a8219097,8/12/2018,40,Out,8:15
195881_8bf9697a,8/12/2018,30,In,8:15
195880_5ba2a991,8/12/2018,30,In,8:15
195877_bcc1e881,8/12/2018,29,In,8:12
195875_3859808a,8/12/2018,29,In,8:12
195873_2049543d,8/12/2018,40,Out,8:11
195872_6f0767e8,8/12/2018,40,Out,8:11
195867_b370c0e5,8/12/2018,29,In,8:10
195869_b3533a1a,8/12/2018,29,In,8:10
195863_8fec02dc,8/12/2018,29,In,8:08
